id,user_id,course_id,rating,comment,feedback_type,created_at,deleted_at,updated_at
1,1,5,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
2,2,98,2,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
3,3,34,2,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
4,3,90,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
5,4,17,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
6,4,18,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
7,4,21,2,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
8,4,52,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
9,8,14,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
10,8,17,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
11,8,47,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
12,8,70,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
13,8,74,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
14,9,2,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
15,9,87,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
16,10,13,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
17,12,61,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
18,13,16,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
19,13,22,2,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
20,14,46,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
21,15,32,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
22,15,45,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
23,15,58,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
24,15,72,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
25,16,25,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
26,16,56,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
27,16,95,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
28,17,28,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
29,17,43,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
30,17,51,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
31,18,22,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
32,18,58,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
33,19,12,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
34,20,14,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
35,20,30,2,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
36,20,47,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
37,20,90,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
38,21,17,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
39,22,16,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
40,22,40,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
41,22,57,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
42,22,71,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
43,24,37,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
44,24,79,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
45,25,33,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
46,25,47,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
47,25,54,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
48,25,66,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
49,25,73,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
50,26,3,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
51,26,14,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
52,26,21,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
53,26,43,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
54,26,78,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
55,27,42,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
56,27,46,2,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
57,27,66,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
58,27,73,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
59,28,35,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
60,29,66,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
61,29,81,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
62,30,21,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
63,30,28,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
64,30,94,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
65,31,36,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
66,31,66,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
67,31,81,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
68,31,83,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
69,31,93,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
70,32,12,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
71,32,43,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
72,32,63,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
73,32,79,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
74,33,7,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
75,33,20,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
76,33,97,2,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
77,34,2,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
78,34,24,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
79,34,89,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
80,34,99,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
81,35,1,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
82,35,5,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
83,35,21,4,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
84,35,58,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
85,35,76,3,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
86,36,56,5,This course was very helpful!,content_quality,2025-05-28 14:09:27,,2025-05-28 14:09:27
